CommunityName,BeachName,BeachCountrycode,BeachRegionalSea,BeachLength_m,BeachLocation,BeachType,EventDate,EventType,lon_x1,lat_y1,lon_x2,lat_y2
Swiss Litter Report,katzenbach_zuerich_sanesim,CH,,99,Rural,Other (mixed),20170928,Cleanup,8.513088026,47.42847285,8.512952828,47.42936038
Swiss Litter Report,katzenbach_zuerich_sanesim,CH,,99,Rural,Other (mixed),20170629,Cleanup,8.513088026,47.42847285,8.512952828,47.42936038
Swiss Litter Report,katzenbach_zuerich_sanesim,CH,,99,Rural,Other (mixed),20170718,Cleanup,8.513088026,47.42847285,8.512952828,47.42936038
Legambiente Onlus,San Mauro Cilento (SA),IT,Unknown,100,,,20180428,Monitoring,0.000134899,0.00036109,0.000134908,0.00036109
Legambiente Onlus,"Spiaggia sul Lungomare Falcomat?, Reggio Calabria (RC)",IT,Mediterranean Sea,100,,,20160514,Cleanup,15.64248,38.10975,15.64348,38.10975
Surfrider Foundation Europe,"7 Place Salvador Allende, 94000 Cr?teil, France",,Unknown,750,,,20190519,Cleanup,2.4527147,48.7792148,2.4527147,48.77921481
Swiss Litter Report,z_ichsee_wollishofen_langendorfm,CH,,50,Urban,Rocky,20170417,Cleanup,8.536154524,47.34588993,8.536054832,47.34633013
Surfrider Foundation Europe,"Zurriola San Sebasti?n, 20002 San Sebasti?n, Espagne",ES,North-east Atlantic Ocean,81,,,20150322,Cleanup,-1.97762,43.3246,-1.97662,43.3246
Legambiente Onlus,"Lido Onda Libera, Scanzano Jonico (MT)",IT,Mediterranean Sea,100,,,20170425,Monitoring,16.75091,40.24772,16.75191,40.24772
Surfrider Foundation Europe,"375 Ulia Pasealekua, 20013 Donostia, Espagne",ES,North-east Atlantic Ocean,81,,,20150716,Cleanup,-1.95033,43.3328,-1.94933,43.3328
Swiss Litter Report,Thur_Schoenenberg_SchaerA,CH,,96,Rural,Other (mixed),20170722,Cleanup,9.198334671,47.52407261,9.197132864,47.52438768
Monitoraggio Strategia Marina  Ministero dell_mbiente,Fossalon,IT,Mediterranean Sea,99,,,20171130,Monitoring,13.51231,45.71552,13.51331,45.71552
Monitoraggio Strategia Marina  Ministero dell_mbiente,Fossalon,IT,Mediterranean Sea,99,,,20181126,Monitoring,13.51231,45.71552,13.51331,45.71552
Monitoraggio Strategia Marina  Ministero dell_mbiente,Fossalon,IT,Mediterranean Sea,99,,,20180321,Monitoring,13.51231,45.71552,13.51331,45.71552
Monitoraggio Strategia Marina  Ministero dell_mbiente,Fossalon,IT,Mediterranean Sea,99,,,20170323,Monitoring,13.51231,45.71552,13.51331,45.71552
Swiss Litter Report,Murg_Waengi_StrickerR,CH,,13,Urban,Pebbels,20171019,Cleanup,8.961592821,47.49361003,8.961466495,47.493684
Swiss Litter Report,Murg_Waengi_StrickerR,CH,,13,Urban,Pebbels,20171120,Cleanup,8.961592821,47.49361003,8.961466495,47.493684
Swiss Litter Report,Murg_Waengi_StrickerR,CH,,13,Urban,Pebbels,20170922,Cleanup,8.961592821,47.49361003,8.961466495,47.493684
Swiss Litter Report,Murg_Waengi_StrickerR,CH,,13,Urban,Pebbels,20171227,Cleanup,8.961592821,47.49361003,8.961466495,47.493684
Swiss Litter Report,Murg_Waengi_StrickerR,CH,,13,Urban,Pebbels,20180322,Cleanup,8.961592821,47.49361003,8.961466495,47.493684
Swiss Litter Report,chriesbach_duebendorf_schneidera,CH,,51,Urban,Other (mixed),20170816,Cleanup,8.605145777,47.40291945,8.604494396,47.40278261
Swiss Litter Report,chriesbach_duebendorf_schneidera,CH,,51,Urban,Other (mixed),20170511,Cleanup,8.605145777,47.40291945,8.604494396,47.40278261
Marnoba,"La Jaquita, Santa Cruz de Tenerife",ES,North-east Atlantic Ocean,100,Rural,Sandy,20180412,Cleanup,-16.53861046,28.05111122,-16.53761046,28.05111122
NIMRD Grigore Antipa,Flora,RO,Black Sea,328,Urban,Sandy,20180814,Cleanup,28.6306567,44.22776057,28.62920855,44.23052385
NIMRD Grigore Antipa,Flora,RO,Black Sea,328,Urban,Sandy,20180522,Cleanup,28.6306567,44.22776057,28.62920855,44.23052385
Surfrider Foundation Europe,"41 Zeedijk, 8380 zeebrugge, Belgique",BE,North-east Atlantic Ocean,69,,,20150509,Cleanup,3.17168,51.3275,3.17268,51.3275
Legambiente Onlus,"Spiaggia Marina di Priolo, Priolo Gargallo (SR)",IT,Mediterranean Sea,100,,,20170408,Monitoring,15.22648,37.15164,15.22748,37.15164
